set,task,T,C,D
1,1,898,63,744
1,2,682,171,567
1,3,726,112,670
1,4,858,71,712
1,5,442,61,383
2,1,267,45,263
2,2,332,93,294
2,3,863,88,693
2,4,341,36,278
2,5,958,36,889
3,1,692,258,630
3,2,462,1,370
3,3,222,4,208
3,4,579,96,576
3,5,729,98,635
4,1,226,27,186
4,2,413,91,411
4,3,296,19,270
4,4,976,268,834
4,5,826,14,766
5,1,714,101,578
5,2,483,16,444
5,3,506,184,468
5,4,477,39,449
5,5,199,14,160
6,1,385,45,321
6,2,114,20,100
6,3,484,116,433
6,4,489,56,427
6,5,521,24,472
7,1,332,65,286
7,2,982,24,946
7,3,570,138,550
7,4,422,4,391
7,5,713,160,662
8,1,848,68,736
8,2,925,54,806
8,3,883,52,809
8,4,655,100,558
8,5,787,273,783
9,1,722,286,627
9,2,118,1,108
9,3,239,42,216
9,4,946,107,865
9,5,108,1,97
10,1,434,78,373
10,2,721,158,644
10,3,311,26,251
10,4,447,83,432
10,5,766,19,620
11,1,898,15,821
11,2,112,7,99
11,3,688,157,565
11,4,606,41,604
11,5,307,97,256
12,1,807,172,800
12,2,154,23,142
12,3,728,65,652
12,4,143,16,138
12,5,438,57,367
13,1,912,99,805
13,2,546,52,483
13,3,270,9,267
13,4,179,34,166
13,5,502,134,434
14,1,422,1,346
14,2,917,94,828
14,3,550,144,493
14,4,952,313,910
14,5,707,3,614
15,1,450,133,446
15,2,297,2,244
15,3,448,20,359
15,4,836,172,689
15,5,323,46,274
16,1,291,90,274
16,2,232,14,199
16,3,633,177,561
16,4,445,9,392
16,5,655,15,586
17,1,638,207,557
17,2,221,7,217
17,3,760,37,630
17,4,377,88,356
17,5,540,31,508
18,1,945,167,821
18,2,289,37,251
18,3,190,15,162
18,4,161,9,133
18,5,256,64,245
19,1,114,5,93
19,2,100,18,81
19,3,101,4,81
19,4,640,229,557
19,5,673,44,626
20,1,512,96,509
20,2,668,60,657
20,3,678,53,625
20,4,760,50,739
20,5,703,193,572
21,1,799,65,641
21,2,659,57,603
21,3,709,85,664
21,4,760,28,654
21,5,397,147,364
22,1,569,90,464
22,2,921,27,878
22,3,429,171,400
22,4,383,3,319
22,5,901,90,899
23,1,270,60,225
23,2,509,36,423
23,3,968,70,787
23,4,264,24,227
23,5,855,203,770
24,1,115,11,92
24,2,325,136,305
24,3,199,15,180
24,4,916,43,764
24,5,870,47,812
25,1,107,3,103
25,2,974,92,968
25,3,767,225,741
25,4,881,237,707
25,5,789,8,635
26,1,956,2,777
26,2,517,43,507
26,3,543,209,540
26,4,823,119,681
26,5,741,61,643
27,1,214,22,210
27,2,543,39,541
27,3,721,111,683
27,4,494,173,439
27,5,459,6,381
28,1,406,69,347
28,2,492,148,489
28,3,237,10,228
28,4,988,113,975
28,5,592,40,589
29,1,958,102,951
29,2,682,95,547
29,3,693,107,565
29,4,513,117,439
29,5,766,52,672
30,1,960,53,798
30,2,875,68,860
30,3,471,100,448
30,4,997,246,940
30,5,956,101,920
31,1,570,68,517
31,2,495,61,430
31,3,752,66,710
31,4,121,13,105
31,5,464,117,390
32,1,118,9,95
32,2,244,126,215
32,3,654,25,527
32,4,424,5,358
32,5,419,20,365
33,1,618,198,600
33,2,268,26,230
33,3,589,18,520
33,4,649,111,634
33,5,198,15,171
34,1,501,91,406
34,2,150,20,122
34,3,729,85,664
34,4,410,84,334
34,5,454,24,390
35,1,724,83,635
35,2,692,63,629
35,3,537,80,511
35,4,963,112,813
35,5,186,42,157
36,1,700,196,667
36,2,709,11,668
36,3,395,61,345
36,4,275,45,249
36,5,664,53,626
37,1,603,79,530
37,2,872,106,795
37,3,314,29,273
37,4,242,27,225
37,5,768,183,672
38,1,236,4,219
38,2,419,125,369
38,3,779,177,664
38,4,215,11,203
38,5,959,94,771
39,1,448,16,409
39,2,280,28,267
39,3,519,29,422
39,4,426,160,404
39,5,725,91,642
40,1,873,101,797
40,2,429,50,392
40,3,573,40,491
40,4,890,242,875
40,5,617,75,607
41,1,899,113,722
41,2,384,27,312
41,3,507,59,420
41,4,806,215,757
41,5,389,45,354
42,1,371,39,311
42,2,291,22,260
42,3,711,310,638
42,4,633,49,590
42,5,795,1,655
43,1,412,51,382
43,2,934,267,830
43,3,345,44,323
43,4,197,24,162
43,5,792,28,782
44,1,485,56,483
44,2,699,48,628
44,3,146,14,125
44,4,434,162,365
44,5,844,30,753
45,1,599,103,544
45,2,206,1,186
45,3,205,34,171
45,4,276,14,232
45,5,444,134,407
46,1,586,13,503
46,2,625,265,546
46,3,631,108,592
46,4,730,15,660
46,5,832,48,679
47,1,115,57,115
47,2,472,22,432
47,3,634,20,511
47,4,175,15,149
47,5,502,16,472
48,1,163,37,140
48,2,795,169,677
48,3,669,37,550
48,4,322,35,275
48,5,961,89,911
49,1,133,18,109
49,2,179,1,148
49,3,987,140,911
49,4,818,328,766
49,5,428,3,405
50,1,283,51,280
50,2,279,16,234
50,3,924,252,757
50,4,362,16,355
50,5,282,39,279
51,1,581,20,497
51,2,340,17,281
51,3,285,10,265
51,4,804,23,664
51,5,797,436,648
52,1,492,43,479
52,2,391,23,384
52,3,417,92,379
52,4,596,84,572
52,5,182,33,150
53,1,548,150,505
53,2,369,19,324
53,3,799,38,711
53,4,724,77,615
53,5,730,159,623
54,1,955,62,923
54,2,501,13,450
54,3,577,121,554
54,4,924,62,803
54,5,907,300,905
55,1,186,40,150
55,2,713,212,710
55,3,711,56,642
55,4,976,66,858
