set,task,T,C,D
1,1,845,75,845
1,2,574,229,574
1,3,590,18,590
1,4,884,101,884
1,5,228,60,228
2,1,138,1,138
2,2,639,96,639
2,3,906,56,906
2,4,647,26,647
2,5,263,169,263
3,1,301,15,301
3,2,468,126,468
3,3,167,22,167
3,4,976,242,976
3,5,344,67,344
4,1,390,119,390
4,2,116,48,116
4,3,825,15,825
4,4,472,27,472
4,5,678,67,678
5,1,497,105,497
5,2,660,58,660
5,3,623,256,623
5,4,343,34,343
5,5,749,64,749
6,1,936,107,936
6,2,668,61,668
6,3,457,197,457
6,4,465,109,465
6,5,570,14,570
7,1,140,2,140
7,2,841,63,841
7,3,839,224,839
7,4,765,202,765
7,5,518,141,518
8,1,835,177,835
8,2,876,120,876
8,3,902,124,902
8,4,945,68,945
8,5,417,141,417
9,1,617,97,617
9,2,320,110,320
9,3,624,147,624
9,4,500,11,500
9,5,703,97,703
10,1,502,1,502
10,2,774,54,774
10,3,126,5,126
10,4,782,82,782
10,5,966,651,966
11,1,545,52,545
11,2,940,340,940
11,3,422,16,422
11,4,965,160,965
11,5,784,185,784
12,1,198,39,198
12,2,925,73,925
12,3,894,254,894
12,4,190,30,190
12,5,823,145,823
13,1,199,11,199
13,2,969,281,969
13,3,164,31,164
13,4,492,12,492
13,5,197,66,197
14,1,807,155,807
14,2,693,64,693
14,3,638,43,638
14,4,946,75,946
14,5,351,164,351
15,1,235,48,235
15,2,521,141,521
15,3,298,111,298
15,4,219,1,219
15,5,738,30,738
16,1,961,199,961
16,2,480,61,480
16,3,381,51,381
16,4,205,36,205
16,5,837,210,837
17,1,884,270,884
17,2,253,30,253
17,3,787,98,787
17,4,669,176,669
17,5,212,17,212
18,1,120,2,120
18,2,593,367,593
18,3,361,29,361
18,4,267,24,267
18,5,976,81,976
19,1,303,144,303
19,2,340,4,340
19,3,490,22,490
19,4,355,25,355
19,5,832,243,832
20,1,765,71,765
20,2,801,107,801
20,3,895,271,895
20,4,312,32,312
20,5,143,38,143
21,1,928,132,928
21,2,290,3,290
21,3,620,158,620
21,4,519,149,519
21,5,289,58,289
22,1,945,35,945
22,2,901,369,901
22,3,128,19,128
22,4,715,113,715
22,5,640,89,640
23,1,615,147,615
23,2,443,36,443
23,3,154,26,154
23,4,563,84,563
23,5,858,220,858
24,1,710,337,710
24,2,765,54,765
24,3,348,11,348
24,4,901,220,901
24,5,367,27,367
25,1,308,84,308
25,2,348,66,348
25,3,347,37,347
25,4,504,59,504
25,5,978,206,978
26,1,636,251,636
26,2,269,31,269
26,3,943,120,943
26,4,381,98,381
26,5,901,1,901
27,1,682,99,682
27,2,670,66,670
27,3,420,85,420
27,4,348,97,348
27,5,558,96,558
28,1,645,116,645
28,2,604,126,604
28,3,779,33,779
28,4,129,24,129
28,5,631,176,631
29,1,675,2,675
29,2,275,132,275
29,3,271,59,271
29,4,364,67,364
29,5,719,8,719
30,1,280,47,280
30,2,669,156,669
30,3,998,93,998
30,4,233,43,233
30,5,386,83,386
31,1,813,171,813
31,2,979,252,979
31,3,804,69,804
31,4,227,75,227
31,5,822,8,822
32,1,673,211,673
32,2,863,49,863
32,3,589,38,589
32,4,303,56,303
32,5,414,114,414
33,1,885,70,885
33,2,287,44,287
33,3,844,491,844
33,4,952,74,952
33,5,917,5,917
34,1,193,37,193
34,2,882,197,882
34,3,983,23,983
34,4,703,285,703
34,5,878,46,878
35,1,837,7,837
35,2,394,32,394
35,3,898,138,898
35,4,985,71,985
35,5,680,395,680
36,1,557,116,557
36,2,151,15,151
36,3,405,97,405
36,4,572,163,572
36,5,650,40,650
37,1,734,1,734
37,2,284,65,284
37,3,217,47,217
37,4,903,276,903
37,5,612,87,612
38,1,453,95,453
38,2,118,40,118
38,3,727,33,727
38,4,666,57,666
38,5,381,81,381
39,1,522,124,522
39,2,382,10,382
39,3,475,124,475
39,4,558,27,558
39,5,409,132,409
40,1,782,144,782
40,2,294,40,294
40,3,255,16,255
40,4,281,92,281
40,5,894,165,894
41,1,294,33,294
41,2,303,41,303
41,3,576,22,576
41,4,320,157,320
41,5,690,82,690
42,1,119,54,119
42,2,576,207,576
42,3,852,22,852
42,4,150,7,150
42,5,926,9,926
43,1,185,5,185
43,2,530,138,530
43,3,224,37,224
43,4,707,23,707
43,5,657,265,657
44,1,914,9,914
44,2,122,14,122
