set,missed_task,miss_time
1,4,202
2,2,2224
3,2,2442
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,2,222
11,0,
12,0,
13,1,318
14,0,
15,0,
16,2,423
17,1,516
18,4,320
19,0,
20,2,270
21,2,96408
22,0,
23,0,
24,0,
25,0,
26,0,
27,5,1195
28,4,765
29,0,
30,0,
31,2,414
32,0,
33,4,390
34,0,
35,4,25344
36,0,
37,1,1650
38,1,447
39,5,354
40,0,
41,0,
42,2,10764
43,4,4061
44,0,
45,3,2415
46,0,
47,0,
48,0,
49,0,
50,0,
51,4,3128
52,1,552
53,3,1290
54,2,8352
55,0,
56,0,
57,5,246
58,0,
59,3,1708
60,4,372
61,0,
62,2,312
63,0,
64,0,
65,4,9102
66,4,3975
67,0,
68,0,
69,1,452
70,2,222
71,2,14784
72,0,
73,5,25821
74,0,
75,0,
76,0,
77,0,
78,4,402
79,4,1610
80,4,34500
81,3,2328
82,0,
83,0,
84,1,360
85,3,418
86,3,321
87,0,
88,4,246
89,0,
90,0,
91,0,
92,5,184
93,5,2758
94,2,274
95,0,
96,0,
97,0,
98,3,76734
99,0,
100,1,446
