set,missed_task,miss_time
1,2,182
2,0,
3,5,91
4,4,354
5,5,233
6,4,312
7,1,54466
8,5,161
9,5,104
10,3,161
11,1,228
12,5,241
13,4,3761
14,4,96
15,4,178
16,5,579
17,2,9859
18,5,175
19,3,98
20,3,134
21,5,305
22,5,150
23,3,472
24,2,231
25,5,111
26,3,84
27,5,102
28,4,365
29,4,374
30,5,228
31,4,130
32,4,312
33,1,458
34,5,171
35,4,174
36,5,587
37,2,202
38,4,376
39,5,150
40,4,327
41,0,
42,4,233
43,4,99
44,4,270
45,5,145
46,5,236
47,5,177
48,2,83
49,1,514
50,5,170
51,4,237
52,4,236
53,2,373
54,3,180
55,5,293
56,5,143
57,3,374
58,3,291
59,0,
60,1,382
61,1,184
62,5,139
63,3,274
64,4,360
65,5,112
66,4,171
67,5,459
68,2,419
69,4,235
70,4,251
71,2,234
72,5,324
73,2,447
74,1,182
75,3,1900
76,5,84
77,2,340
78,5,196
79,2,255
80,5,344
81,5,207
82,5,612
83,2,249
84,2,173
85,5,235
86,4,94
87,2,90
88,5,406
89,5,142
90,4,102
91,3,134
92,5,104
93,2,322
94,2,248
95,5,225
96,4,126
97,4,123
98,4,173
99,4,198
100,3,312
