set,missed_task,miss_time
1,5,704
2,5,690
3,3,801
4,0,
5,3,515
6,3,734
7,0,
8,0,
9,2,839
10,1,835
11,3,624
12,4,823
13,5,708
14,0,
15,0,
16,0,
17,0,
18,4,461
19,0,
20,0,
21,4,834
22,4,403
23,4,249
24,1,507
25,0,
26,0,
27,0,
28,1,880
29,2,559
30,0,
31,1,580
32,1,846
33,0,
34,4,595
35,0,
36,2,890
37,3,973
38,0,
39,0,
40,3,834
41,5,849
42,2,776
43,0,
44,5,588
45,0,
46,0,
47,0,
48,0,
49,5,791
50,3,797
51,3,919
52,0,
53,4,974
54,0,
55,3,664
56,0,
57,2,876
58,4,805
59,5,864
60,0,
61,0,
62,0,
63,1,788
64,5,928
65,0,
66,0,
67,3,793
68,0,
69,5,659
70,2,858
71,0,
72,3,774
73,0,
74,0,
75,5,241
76,0,
77,1,709
78,2,862
79,0,
80,4,631
81,0,
82,4,817
83,0,
84,0,
85,3,615
86,3,670
87,0,
88,0,
89,4,626
90,0,
91,0,
92,0,
93,5,619
94,4,914
95,0,
96,0,
97,3,797
98,0,
99,0,
100,0,
