set,missed_task,miss_time
1,4,372
2,4,1376
3,0,
4,0,
5,0,
6,6,3894
7,0,
8,0,
9,3,45135
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,3,1071
18,0,
19,0,
20,0,
21,0,
22,0,
23,5,226
24,3,444
25,0,
26,7,1524
27,4,426
28,2,256
29,0,
30,0,
31,0,
32,0,
33,0,
34,4,4982
35,4,33408
36,3,6650
37,0,
38,4,206
39,0,
40,0,
41,0,
42,0,
43,0,
44,0,
45,7,2016
46,1,1620
47,0,
48,5,1071
49,8,1210
50,3,360
51,0,
52,0,
53,0,
54,0,
55,7,2070
56,0,
57,5,303
58,3,1140
59,0,
60,2,292
61,0,
62,6,65522
63,0,
64,6,290
65,0,
66,0,
67,0,
68,3,224
69,0,
70,0,
71,0,
72,4,1890
73,0,
74,0,
75,0,
76,2,1416
77,0,
78,0,
79,0,
80,0,
81,8,2800
82,0,
83,0,
84,0,
85,0,
86,0,
87,4,78383
88,0,
89,0,
90,0,
91,0,
92,0,
93,0,
94,0,
95,0,
96,2,204
97,6,1160
98,0,
99,0,
100,0,
