set,missed_task,miss_time
1,1,108
2,2,631
3,0,
4,7,452
5,3,25373
6,0,
7,7,244
8,4,393
9,2,53730
10,4,788
11,6,273
12,1,749
13,0,
14,5,696
15,4,742
16,6,154
17,0,
18,8,43140
19,1,686
20,5,256
21,3,1176
22,5,375
23,1,593
24,2,560
25,4,18190
26,0,
27,0,
28,0,
29,6,645
30,4,698
31,8,584
32,2,81731
33,5,523
34,3,342
35,3,353
36,0,
37,8,603
38,7,756
39,3,560
40,5,467
41,0,
42,5,793
43,6,822
44,0,
45,0,
46,3,87097
47,1,12208
48,1,406
49,4,519
50,4,192
51,6,746
52,8,871
53,7,115
54,0,
55,1,372
56,5,638
57,8,43632
58,1,335
59,6,809
60,6,745
61,0,
62,0,
63,3,710
64,2,472
65,3,410
66,4,217
67,2,232
68,1,29223
69,0,
70,4,567
71,0,
72,4,27662
73,0,
74,0,
75,4,239
76,0,
77,8,265
78,2,17161
79,4,546
80,0,
81,8,676
82,8,69255
83,2,85
84,3,535
85,4,675
86,0,
87,0,
88,0,
89,0,
90,3,401
91,2,695
92,0,
93,0,
94,6,183
95,0,
96,0,
97,0,
98,0,
99,6,786
100,7,6442
